Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),extra,
spotify:track:61hQ6BzB3x3G7N04aZb8XW,So NY,Fabolous,So NY,1,1,161760,,
spotify:track:0zaWQBwkfh9OmK77CiDmRI,Always On Time,"Ja Rule, Ashanti",Pain Is Love (International Version),1,5,245093,,
spotify:track:0osPX8TruIebOhKuG6GK8C,On My Level - feat. Too $hort,Wiz Khalifa,Rolling Papers,1,2,272160,,
spotify:track:2RuPhjHnsIrHhkRDEc7yF4,Who Got Gunz - Feat. Fat Joe & M.O.P.,Gang Starr,The Ownerz,1,10,216826,,
spotify:track:5kPxpQM1fhfi0L0PULZ4wA,Cold as Ice,M.O.P.,Warriorz,1,16,244066,,
spotify:track:1rrK53FJENK8B9sPXm9aqn,Ante Up (Robbin Hoodz Theory),M.O.P.,20 RAP GEMS,1,1,249160,,
spotify:track:5dwsbKJO3jIzDufT76y1uK,1/2 & 1/2 - Feat. M.O.P.,Gang Starr,Full Clip: A Decade Of Gang Starr,2,8,253143,,
spotify:track:7s0hsZUXf9nIQrkTg3Da6p,A-YO,"Method Man, Redman, Saukrates",Blackout! 2,1,3,223666,,
spotify:track:5jRxuM1iVYrKmIWPh5R2uv,Welcome 2 Detroit,"Trick Trick, Eminem",The People Vs.,1,3,285453,,
spotify:track:63aahfoOYOIijLNOQfXDpR,Who Want It,Trick Trick,The Villain (explicit),1,4,251760,,
spotify:track:5btiVzd1G4HszgUqzxsSjy,Drama (feat. Trick Trick & Junes Flow),Royce Da 5'9, Trick Trick," Junes Flow""",The Bar Exam 3 (No DJ Version),1,2013-01-15T20:03:44Z,
spotify:track:63jhugqdKaSZQXxksdh30Z,Writer's Block (feat. Eminem),"Eminem, Royce Da 5'9"",Writer's Block (feat. Eminem)""",1,1,275139,spotify:user:1152696204,,
spotify:track:6lH67bGdVbYWuthCi4iqH4,What Means The World To You,Camäó»ron,Cam'ron...Harlem's Greatest,1,3,279466,,
spotify:track:27dUo79lgLEy4Rk5w3UvSL,Guess Who's Back,"Beanie Sigel, Scarface, JAY Z",Greatest Hits,1,10,241573,,
spotify:track:5s992kwS2vr9SgrQsBootT,Bia' Bia',"Chyna Whyte, Big Kap, Too $hort, Ludacris, Lil Jon & The East Side Boyz",Put Yo Hood Up,1,4,301093,,
spotify:track:6glsMWIMIxQ4BedzLqGVi4,"So Fresh, So Clean",OutKast,Stankonia,1,4,240026,,
spotify:track:3AszgPDZd9q0DpDFt4HFBy,Hey Ya! - Radio Mix / Club Mix,OutKast,The Way You Move / Hey Ya!,1,3,239240,,
spotify:track:5p5cgta04ZQ7vOLy15LFhC,Get Loose (feat. Nelly),"T.I., Nelly",Urban Legend,1,7,252120,,
spotify:local:::P%24C+feat+TI-Do+Ya+Thang:245,P$C feat TI-Do Ya Thang,,,0,0,245000,,
spotify:track:2xSopQIaVbV3Fv3Ux1EJS0,No More Games,"Snoop Dogg, Nate Dogg, Prince Ital Joe",Real Life Gangsters Soundtrack,1,2,288786,,
spotify:track:5dfqNdhtfxsqzq3i2jvsUS,Can I Git Bucc,"Soopafly, Daz Dillinger, KXNG Crooked",Dat Woopty Woop,1,4,259306,,
spotify:track:5mcJ6jQJnfZ5L9V8LqslGu,Connected,"Ja Rule, Eastwood, KXNG Crooked",Thug Lovin (Explicit Version),1,2,296533,,
spotify:track:4i9UAR69ONvEyABK9RTK2o,Tha Nexx Nigguz,"Chink Santana, Eastwood, KXNG Crooked, Ronny Bumps, Dave Bing, Black Child, Caddillac Tah",Irv Gotti Presents... The Inc. (Explicit Version),1,14,280293,,
spotify:track:1P3QluLUsKg6RNkky1pS6u,Gangbang Music,"Spice 1, Tha Eastsidaz",Life After Jive (Collector's Edition),1,6,247733,,
spotify:track:1MOb2WFEnNm4uhJ8JTcH9r,Who Ride Wit Us,"Kurupt, Daz Dillinger",Tha Streetz Iz A Mutha,1,3,261133,,
spotify:track:1OdTLPkmkYJUir8k452OG4,C-Walk,Kurupt,Kuruption (Explicit Version),1,7,311666,,
spotify:track:1aEkO2kyMQrJ1nXQ1nIjkN,Eazy-er Said Than Dunn,Eazy-E,Eazy-Duz-It (Explicit),1,8,221866,,
